id;description;date_added;last_modified
56b00fb6-e319-4da7-bf86-8939baaca0ab;Market;2022-03-30T10:36:04;2022-03-30T03:45:14
b811ef8f-b20a-432e-8104-57e1991861d8;Up-sized B2B Rustic;2022-03-30T02:17:38;2022-03-30T19:50:33
61bd566d-2159-45fb-84d2-34dcb4834349;Cambridgeshire primary;2022-03-30T01:26:14;2022-03-30T12:52:14
e60be256-fe4c-40dd-98ab-6fb964ead356;Facilitator Lake e-business;2022-03-30T18:07:02;2022-03-30T05:57:25
d5a1baac-73a1-4caa-945b-f93fb676f25b;FTP;2022-03-30T14:33:37;2022-03-30T14:31:09
9ec52330-b5af-49dc-8b5f-ca99105b1ef7;program;2022-03-30T07:13:43;2022-03-30T00:20:35
d08fe736-7f4c-444b-b333-667e877bdc37;District scalable;2022-03-29T22:23:21;2022-03-30T16:22:42
a8cbbe1f-d90f-47c0-b4dd-763b94434b1e;Generic Directives USB;2022-03-29T23:15:33;2022-03-30T10:55:02
715ba91f-939c-4bef-8cde-adeaed1540bf;Jewelery bypassing SQL;2022-03-29T22:33:39;2022-03-30T16:42:44
9bf4e815-0a84-4823-b50f-3c9b90341ce1;Metal bandwidth;2022-03-30T06:52:39;2022-03-30T12:43:30
